"מקט פריט","תיאור עברית","תיאור אנגלית","קיים?","מחיר ספק","קטגוריה","אחוז רווח","CBM","יחידות בקרטון","חסרים"
"100-08200","תבנית מרובעת ארוז 50 בקרטון","Pan with lid  Pakced 50 in a case","כן","-","-","12","0.042","50","מחיר ספק"
"100-200","מכסה לתבנית ( 5 יח') ארוז 40 בקרטון","Lid for half-size steam (packed 5) 40 in a case","כן","17.12","-","12","0.036","40","הכל בסדר"
"100-200/8","מכסה לתבנית ( 8 יח') ארוז 25 בקרטון","Lid for half-size steam (packed 8)25 in a case","כן","14.67","-","12","0.039","25","הכל בסדר"
"100-200-100","מכסה לתבנית תנור (100 יח')","Lid for half-size steam (packed 100)","כן","7.2","-","12","0.02","100","הכל בסדר"
"100-200310","מכסה לתבנית 310(8 יח') ארוז 25 בקרטון","Liid for Small roaster ( Packed 8) 25 In a case","כן","24","-","12","0.032","25","הכל בסדר"
"100-200407","מכסה לתבנית 407(10 יח') ארוז 50 בקרטון","Liid for Ract Pan ( Packed 10) 50 In a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-200409","מכסה לתבנית 409(10 יח') ארוז 50 בקרטון","Lid for 1LB Loaf Pan( Packed 10) 50 In a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-200410","מכסה לתבנית 410(10 יח') ארוז 50 בקרטון","Lid for Small Loaf Pan(Packed 10) 50 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-200420","מכסה לתבנית 420(8 יח') ארוז 25 בקרטון","Liid for Loaf Pan ( Packed 8) 25 In a case","כן","13","-","12","0.028","25","הכל בסדר"
"100-200501","מכסה לתבנית 501(10 יח') ארוז 100 בקרטון","Lid for Oblong 1.1/12 lb Pan( Packed 10) 100 In a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-200503","מכסה לתבנית 503(10 יח') ארוז 100 בקרטון","Liid for Rect Pan  (Packed 10) 100 in a case","כן","-","-","12","0.006","100","מחיר ספק"
"100-200504","מכסה לתבנית 504(10 יח') ארוז 50 בקרטון","Lid for Oblong 2.1/4 lb Pan(packed 10) 50 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-200505","מכסה לתבנית 505(10 יח') ארוז 20 בקרטון","Lid for 10" Pan (packed 10) 20 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-200506","מכסה לתבנית 506(10 יח') ארוז 40 בקרטון","Lid for Oblong 5 lb Pan(packed 10) 40 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-200-506","מכסה לתבנית טוסטר אובן (10) ארוז 25 בקרטון","Liid for Cake Pan (10) 25 pcs in a cas","כן","20.25","-","12","0.033","25","הכל בסדר"
"100-200508","מכסה לתבנית טוסטר אובן (10) ארוז 25 בקרטון","Liid for Cake Pan (10) 25 pcs in a cas","כן","-","-","-","-","25","מחיר ספק; קטגוריה; CBM לקרטון"
"100-200512","מכסה לתבנית 512 (10 יח') ארוז 25 בקרטון","Lid for half-size steam  (packed 10) 25 in a case","כן","19.65","-","12","0.043","25","הכל בסדר"
"100-200R31","מכסה לתבנית R31(10 יח') ארוז 40 בקרטון","Lid for Aluminum Pan R31 (packed 10)40 pcs in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"100-205","מכסה לגסטרונום (50 יח')","Cover for Full size steamer (packed 50)","כן","10","-","12","0.025","50","הכל בסדר"
"100-215","מכסה לתבנית רוסטר(100 יח')","Lid for Roaster Pan (packed 100)","כן","16.86","-","12","0.03","100","הכל בסדר"
"100-300","תבנית שטוחה למאפים (2 יח') ארוז 45 בקרטון","Cookie sheet pan (packed 2) 45 in a case","כן","24.75","-","12","0.061","45","הכל בסדר"
"100-300/2","תבנית שטוחה למאפים (2 יח') ארוז 50 בקרטון","Cookie sheet pan (packed 2) 50 in a case","כן","26.7","-","12","0.071","50","הכל בסדר"
"100-300/3","תבנית שטוחה למאפים (3 יח') ארוז 30 בקרטון","Cookie sheet pan (packed 3) 30 in a case","כן","22.98","-","12","0.073","30","הכל בסדר"
"100-300-100","תבנית קוקי שיט (100 יח')","Cookie sheet pan (packed 100)","כן","23.87","-","12","0.051","100","הכל בסדר"
"100-300-50","תבנית שטוחה למאפים  ארוז 50 בקרטון","Cookie sheet (packed 50)","כן","12.47","-","12","0.04","50","הכל בסדר"
"100-301","טארט מיני(35 יחי)ארוז 50 בקרטון","Mini SQ Pan (Packed0 35) 50 in a case","כן","24.2","-","12","0.041","50","הכל בסדר"
"100-301900","טארט מיני+מכסה(25+25 יח')ארוז 54 בקרטון","Mini SQ Pan with lid (Packed0 25+25) 54 in a case","כן","29.16","-","12","0.051","54","הכל בסדר"
"100-302","תבנית אישית מרובע (20 יח') ארוז 54 בקרטון","Square pan (Packed 20) 54 in a case","כן","28.35","-","12","0.051","54","הכל בסדר"
"100-302200","תבנית מרובע עם מכסה (20+20 יח') ארוז 25 בקרטון","Pan   with lid (20+20) Pakced 25 in a case","כן","-","-","12","0.042","25","מחיר ספק"
"100-302900","תבנית אישית מרובע עם מכסה שקוף (12+12 יח') ארוז 40 בקרטון","Square pan+lid (12+12) Pakced 40 in a case","כן","20.7","-","12","0.041","40","הכל בסדר"
"100-310","רוסטר קטן (3 יח') ארוז 40 בקרטון","Small roaster( packed 3) 40 in a case","כן","24.9","-","12","0.066","40","הכל בסדר"
"100-310/4","רוסטר קטן (4 יח') ארוז 30 בקרטון","Small roaster( packed 4) 30 in a case","כן","24.18","-","12","0.662","30","הכל בסדר"
"100-310/5","רוסטר קטן (5 יח') ארוז 20 בקרטון","Small roaster (packed 5) 20 in a case","כן","20.85","-","12","0.056","20","הכל בסדר"
"100-310-100","רוסטר בייתי (100 יח')","Roaster  (packed 100)","כן","18.1","-","12","0.064","100","הכל בסדר"
"100-310-25","רוסטר קטן (5 יח') ארוז 25 בקרטון","Small roaster( packed 5) 25 in a case","כן","24.46","-","12","0.074","25","הכל בסדר"
"100-310-30","רוסטר קטן (3 יח') ארוז 30 בקרטון","Small roaster( packed 3)30 in a case","כן","18","-","12","0.057","30","הכל בסדר"
